  PID  PPID  PGID   UID USER             STAT     ELAPSED COMMAND
  592     1   592   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  598     1   598   501 oopslink         S    27-06:05:56 /usr/sbin/universalaccessd launchd -s
  601     1   601   501 oopslink         S    27-06:05:56 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  603     1   603   501 oopslink         S    27-06:05:56 /usr/libexec/pboard
  605     1   605   501 oopslink         R    27-06:05:56 /usr/libexec/lsd
  608     1   608   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  609     1   609   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  610     1   610   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  611     1   611   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  614     1   614   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  615     1   615   501 oopslink         S    27-06:05:56 /usr/libexec/secd
  619     1   619   501 oopslink         S    27-06:05:56 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  622     1   622   501 oopslink         Ss   27-06:05:56 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  623     1   623   501 oopslink         S    27-06:05:56 /usr/libexec/ContinuityCaptureAgent server
  624     1   624   501 oopslink         S    27-06:05:56 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  627     1   627   501 oopslink         S    27-06:05:56 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  629     1   629     0 root             Ss   27-06:05:56 /usr/sbin/filecoordinationd
  631     1   631   501 oopslink         S    27-06:05:56 /usr/libexec/trustd --agent
  634     1   634     0 root             Ss   27-06:05:55 automountd
  637     1   637   501 oopslink         S    27-06:05:55 /System/Library/CoreServices/sharedfilelistd
  638     1   638   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  640     1   640   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  644     1   644   501 oopslink         S    27-06:05:55 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  648     1   648   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  649     1   649   501 oopslink         S    27-06:05:55 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  650     1   650   501 oopslink         S    27-06:05:55 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  654     1   654   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  655     1   655   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  656     1   656   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  657     1   657   501 oopslink         S    27-06:05:55 /usr/libexec/rapportd
  659     1   659   501 oopslink         S    27-06:05:55 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  664     1   664   441 _oahd            Ss   27-06:05:55 /usr/libexec/rosetta/oahd
